ID;title;url;author;institutionName;institutionUrl;helix;role;expertise;description;appendixUrl
40;Seeking experts in bioprinting for M-ERA.NET JOINT CALL 2;https://crowdhelix.com/opportunities/seeking-experts-in-bioprinting-for-m-era-net-joint-call-2-2012;Kubra Yurduseven;Intract Inovasyon & Danismanlik;https://crowdhelix.com/organisation/intract-inovasyon-danismanlik-10481;Health, Materials;Coordinator;3d printing, 3d bioprinting, Soft tissue, Bio-printing;We are preparing a proposal for M.Era-Net (New strategies for advanced material-based technologies for health applications) and looking for a partner for bio-printing (a 3D printing system for soft tissue regeneration).Please contact euprojects@intract.com.tr.For more information about this call, please see the attachment and this page: https://m-era.net/joint-calls/...;
41;"Looking to join a consortium as a partner for ""Behavioural Model of Factors Affecting Patient Adherence"" call";https://crowdhelix.com/opportunities/looking-to-join-a-consortium-as-a-partner-for-behavioural-model-of-factors-affecting-patient-adherence-call-1107;Federico Trentanove;Ca' Foscari University of Venice;https://crowdhelix.com/organisation/ca-foscari-university-of-venice-5257;Health, Society;Consortium Partner;Language learning, Narratives, Medical anthropology, Migrants, Qualitative reaserch, Qualitative methods in health research;"We are searching to join a consortium for the call IMI2-2020-23-06 ""Behavioural Model of Factors Affecting Patient Adherence"". We are a department focused on intercultural studies and in the last two years we started working on migrant and global health. The idea is to add tothe project our competencies in health care investigation, migration studies and languages to develop some actions in a field that usually is underestimate: the understanding of the illness in the migrant population and their adherence. For us it is important to give solutions to improve intercultural relationship between health system and migrants using tools coming from language facilitation and cultural mediation as well as anthropology and intercultural communication.";
42;Seeking International Hospital Collaborators for DIH-HERO Call;https://crowdhelix.com/opportunities/seeking-international-hospital-collaborators-for-dih-hero-call-1958;Serafí Cambray;IRBLleida;;Health, Society, Citizen Science;Coordinator;Aging, Neurological conditions, Healthcare robotics, Collaborative robot, Cognitive aging, Autonomous robots, Human robot interaction;We are looking for the collaboration of a public or private hospital with access to patients with cognitive impairment (regardless of the phase) and long-stay patients with a capacity of 100-200 beds.Our aim is to improve the software of a care robot to help diagnose cognitive impairment associated with aging or neurological pathologies.We currently have the robots, personnel to program them and assistance personnel to assist in the tasks of programming and validating the device.The collaborating team would expand the validation population and, if desired, could collaborate in the design and improvement of the device's functions.;
43;"Offering expertise for call ""Staying healthy""";https://crowdhelix.com/opportunities/offering-expertise-for-call-staying-healthy-1919;Mechteld Bous;Radboud University;https://crowdhelix.com/organisation/radboud-university-6726;Health;"Work Package Leader, Consortium Partner

, ";Infection and immunity, Health technology, Chronic inflammation, Biopsychosocial assessment, Diagnostic research, Healthy brain;Radboud University and Radboud University Medical Center are teaming up to offer their expertise to a consortium aiming at the Staying Healthy (single stage).Six researchers involved in both institutions offer:• Extensive expertise in the set up of large population-based studies.• Experience with strong interdisciplinary collaborations.• Expertise with complex systems perspectives in computing a real-life biopsychosocial model in which relations between inflammation makers (e.g., IL-6, TNFa), psychological factors (e.g., cognitions, decision-making), and social factors (e.g., quality of social relations, loneliness) are included.• Many years of expertise and extensive expertise on translational diagnostic research in the field of chronic inflammatory diseases and infectious diseases with a focus on monitoring the immune system. Furthermore, the dynamics of inflammation is studied with novel technologies to better understand reaction cascades but also to improve personalized healthcare and targeted therapy.;
44;Offering expertise for HORIZON-HLTH-2022-TOOL-12-01-two-stage: Computational models for new patient stratification strategies;https://crowdhelix.com/opportunities/offering-expertise-for-horizon-hlth-2022-tool-12-01-two-stage-computational-models-for-new-patient-stratification-strategies-1538;Alba Marti;Institut d'Investigació Sanitaria Pere Virgili;;Health, Digital;"Work Package Leader, Consortium Partner

, ";Medical devices, Personalised medicine, Health technology, Patient data, Computation modelling, Digital health solutions;The Emergency Medical System of Catalonia (SEM) covers 100% of the territory of Catalonia, which has 7.5 million inhabitants. SEM is part of the public health network and is firmly connected to the hospital network.The SEM provides initial pre-hospital care for all patients presenting with out-of-hospital sudden cardiac death, 80% of acute myocardial infarctions and 70% of acute ischaemic strokes.SEM is dedicated to register and improve time-dependent acute cardiovascular pathology by implementing protocols ranging from the patient's telephone alert to the dispatch centre to the transfer of the patient to the most appropriate hospital.The SEM research team works actively in the Catalan registry of cardiac arrests and has been developing a prospective registry of sudden death for years with multiple sources of information in collaboration with cardiologists, forensic specialists, primary care researchers and engineers. He has collaborated with international researchers and has an open line of research in the field of personalised CPR, haemodynamically guided CPR and the study of the effect of body position during CPR on out-of-hospital cardiac arrest survival.In the field of acute coronary syndrome treatment, our research team is developing predictive models to improve treatment and hospital transfer flows for patients with the acute coronary syndrome. In the field of stroke, it actively participates in the registry of cases and is one of the main actors in the early detection and transfer to the most appropriate treatment centre.Our main interests in the field of cardiovascular disease are the creation of a BigData platform with data from acute cardiovascular pathology registries and patient monitoring data and the development of predictive models based on artificial intelligence to develop medical devices to enable improvements in treatment in the field of personalised CPR and acute cardiovascular care. We are also interested in the development of management tools for patients with acute cardiovascular disease from the emergency dispatch centre based on artificial intelligence.The SEM offers a useful data platform for the development of improvements in the field of cardiovascular disease and we will be happy to collaborate and offer our help, so feel free to contact us.Youcef Azeli. MD PhD.ORCID: https://orcid.org/0000-0003-35...;
45;Seeking collaborators for a call on health: non-communicable and inflammatory diseases;https://crowdhelix.com/opportunities/seeking-collaborators-for-a-call-on-health-non-communicable-and-inflammatory-diseases-1664;Beathe Sitter;NTNU;https://crowdhelix.com/organisation/ntnu-15;Health, Digital;"Coordinator, Work Package Leader, Consortium Partner

, ";Big data, Obesity, Proteomics, Metabolomics, Genomics, Ai, Omics, Intervention, Diet, Celiac disease, Psoriasis;We aim to develop personal recommendations to keep disease activity low for people with chronic non-communicable disease in order to stay healthy.The main focus in our group is psoriatic disease. It is known that there is both a genetic and environmental factor involved when a person is developing psoriasis. It is also known that some factors like stress and obesity can trigger flare-ups and the development of a more active disease. Avoiding stress and obesity and other possible triggers is thus part of the general advise for people with psoriasis. We aim to add a molecular signature to the effects of psoriasis triggers, providing a personalised tool for disease management.We have access to health registry data and samples, and a wide number of targeted and untargeted molecular analysis of blood and other biofluids.We seek partners that can enroll study participants, do dietary interventions, perform molecular analysis or analysis on big data and development of AI tools.;
46;Seeking Consortium for HORIZON-EIE-2022-SCALEUP-01-01 / Expanding Entrepreneurial Ecosystems;https://crowdhelix.com/opportunities/seeking-consortium-for-horizon-eie-2022-scaleup-01-01-expanding-entrepreneurial-ecosystems-1929;Hamza Cinar;Dokuz Eylül University;https://crowdhelix.com/organisation/dokuz-eylul-university-37;Health, Society, Digital;"Work Package Leader, Consortium Partner, Individual Expert

, ";Innovation management, Technology transfer, Knowledge transfer, Entrepreneurial skills, Health innovation;Organization’s Profile:Dokuz Eylul University (DEU) is a state university established in 1982 in Izmir, the third largest city in Turkey and it acknowledges the importance of education, research (including knowledge transfer) and innovation in the face of increasing global competition. Therefore, internationalization, innovation, and quality in education are strategically important for the university and therefore are given priority. In this regard, DEU develops collaborations with European and non-European countries for improving education, research, and administrative capacity.DEU is a relatively young and dynamic university continuously growing, and has reached so far to 18 faculties, 10 research institutes and graduate schools, 3 schools, state conservatory, 6 vocational schools, 49 research centers. It also has the Science and Technology Park (DEPARK) within its technology development zone.The university has a highly active technology transfer office (DETTO). DETTO has a Project Management Unit in which the unit establishes partnerships, coordinates and organizes international mobility projects through various national and international grants such as EU grants, and especially through relevant Horizon Europe and Erasmus+ calls.The Project Management Unit within the technology transfer office takes the following actions:- To promote entrepreneurship among young people.- To encourage young people to use their creativity and reflect their own ideas.- To raise awareness on personal responsibility in growing Europe.- To give chance to disadvantaged youth and encourage their mobility.- To improve youth’s capacity and experiences, and promote social and professional skills.Organizational Background and Expertise:The health ecosystem within Dokuz Eylul University is composed of Dokuz Eylul University Hospital, School of Medicine, Dokuz Eylul University Science and Technology Park, Dokuz Eylul Technology Transfer Office, Incubation Center, companies within the technopark (among those are companies working in the health technology field) and Bioİzmir International Health Technologies Developer and Accelerator Application and Research Center. BioIzmir has the power to support all on-going clinical studies in the Dokuz Eylul Research Hospital by enhancing their technology readiness level to the pilot production stage using its in-house infrastructure. To enhance the already existing ties in the private health sector, Dokuz Eylul National Health Industries Association (DUSED) was founded as an initiative of Dokuz Eylul University in order to support activities that will increase the competitiveness of the International Health Industry Sector with innovative products at a lower cost that will improve the ability of national SMEs with the health sector, by establishing a dynamic and thematic cluster. The Association together with DEPARK has so far secured a project funding to from the Republic of Turkey Ministry of Commerce to support the commercialization activities of the national health industries in the international market.Dokuz Eylul University has the potential and expertise to support entrepreneurial activities in general, but also in particular within health technologies, by improving the entrepreneurship training on health innovation and promote it on national and international levels.We would like to take part in a project consortium which aims to work with entrepreneurship on health technologies.You can contact us on: proje@deu.edu.tr;https://crowdhelix.com/uploads/post_attachments/6229e0bfce07d_DEU_HORIZON-EIE-2022-SCALEUP-01-01_SHORT_INFO_CK_OO.pdf
47;Seeking international collaborators for leonardite extraction and using the extraction products for healthy soil and food;https://crowdhelix.com/opportunities/seeking-international-collaborators-for-leonardite-extraction-and-using-the-extraction-products-for-healthy-soil-and-food-1808;Vedat Taylan Engin;Dokuz Eylül University;https://crowdhelix.com/organisation/dokuz-eylul-university-37;Health, Food, Raw Minerals;Coordinator;"Agricultural development, Clinical pharmacy, Advanced organic materials
, Cosmetics, Agri-food, Bioinorganic chemistry, Clean environment, Agri-environment, Organic farming";This project aims to get preliminary concentrate of leonardite and use this concentrate to produce the derivatives of leonardite (humic acid, fulvic acid and hymatomelanic acid) from leonardite or oxidized lignite. These processes will make an essential contribution to the prevention of environmental pollution because these lignites are generally wastes of open-pit mines. Additionally, using this leonardite’s derivatives will make healthy foods.;
48;Offering dataset & expertise for human brain and behavior research;https://crowdhelix.com/opportunities/offering-dataset-expertise-for-human-brain-and-behavior-research-1658;Lucy Overbeek;Healthy Brain Study, Radboud University;"https://crowdhelix.com/group/healthy-brain-study-296; https://crowdhelix.com/organisation/radboud-university-6726";Health, Open Science;"Work Package Leader, Consortium Partner, Individual Expert

, ";Affective neuroscience, Decision making, Cognitive neuroscience, Neuroimaging, Big data / 'omics' data, Human behavior;We offer datasets from the Healthy Brain Study resource & corresponding expertise for human brain and behavior research.For more information about the study, please see https://www.healthybrainstudy....;
49;Offering Expertise in the Field of Hematology and Cancer Research;https://crowdhelix.com/opportunities/offering-expertise-in-the-field-of-hematology-and-cancer-research-1870;Emir Hadzijusufovic;Ludwig Boltzmann Institute for Hematology and Oncology, Ludwig Boltzmann Gesellschaft;"https://crowdhelix.com/group/ludwig-boltzmann-institute-for-hematology-and-oncology-221; https://crowdhelix.com/organisation/ludwig-boltzmann-gesellschaft-300";Health, Mission Cancer;"Work Package Leader, Consortium Partner, Individual Expert

, ";Cancer stem cells, Leukemia, Biobank, Preclinical model, Patient data and samples;The Ludwig Boltzmann Institute for Hematology and Oncology (LBI HO) is located at the Medical University of Vienna and focusses on the identification, phenotyping, targeting and eradication of neoplastic stem cells in various malignancies.The tight integration of the LBI HO in the Department of Medicine I of the Medical University of Vienna enables effective translational research, which is based on successful collaboration of preclinical/basic research and clinical medicine, and is supported by an extensive biobank of viable samples from patients with hematooncological diseases. Research objectives in our LBI are to develop new concepts for clinical application of stem cell-targeting drugs based on results from our in vitro studies.The overarching goal of the LBI HO is to develop new therapeutic concepts in cancer research aiming at eliminating neoplastic stem cells to develop improved curative therapies.;
50;Looking for clinical partners active in paediatric psychiatry to join a consortium;https://crowdhelix.com/opportunities/looking-for-clinical-partners-active-in-paediatric-psychiatry-to-join-a-consortium-1930;Nadege Grabowski;Zaz Ventures;https://crowdhelix.com/organisation/zaz-ventures-447;Health;"Work Package Leader, Consortium Partner

, ";Paediatrics, Clinical decision support, Psychiatry, Clinical centre, Patient;We are looking for European psychiatric centers interested in joining a consortium to investigate the gut-brain-axis.We are looking for centers in any European countries, except Italy (too many Italian partners already :) !);
51;Offering expertise in Procurement & Market Stewardship - buyer/supplier skills, capabilities, resources & processes;https://crowdhelix.com/opportunities/offering-expertise-in-procurement-market-stewardship-buyer-supplier-skills-capabilities-resources-processes-1677;Frederik Vos;University of Twente;https://crowdhelix.com/organisation/university-of-twente-6732;Health;"Work Package Leader, Consortium Partner, Individual Expert

, ";Public procurement of innovation, Healthcare processes, Supply chain management, Knowledge of public and private buyers, Innovation procurement, Procurement, Purchasing;We can help with a procurement/supply perspective in projects, this includes:- the role of public institutions in shaping markets through procurement/market stewardship.- Capacity assessment and capability building for spotting & managing (innovative) solutions.- specification, scoring, and solution/supplier selection methods.- joint innovation of buying institutions and suppliers (multi-stakeholder perspective).- Risk management of supply (chains) and organizational resilience strategies.Open to support as a work package leader or sub-part of (several) workpackage(s). Willing to join actively in proposal writing.;
52;Offering expertise in Art Therapy for Boosting mental health call;https://crowdhelix.com/opportunities/offering-expertise-in-art-therapy-for-boosting-mental-health-call-1764;Natalya Prilipko;University of Haifa;https://crowdhelix.com/organisation/university-of-haifa-5163;Health, COVID-19, Inclusion;"Work Package Leader, Consortium Partner, Individual Expert

, ";Mental health, Psychology, Employment and mental health, Coordinatator, Child mental health;The group of researchers from the Emili Sagol Creative Arts Therapy Research Center (https://catrc.haifa.ac.il/inde...) at the University of Haifa in Israel is seeking to offer its expertise in Art Therapy. Our potential contribution could consist of the following tasks:* Enhancing well-being through art-making.* Community art-therapy: inclusiveness, empowerment, and reducing stereotypes.* Feminist and Critical thinking in art therapy.* Arts and Health: Psychosomatic/ mind-body/ physiological impact of art-making.* Intervention evaluation and mechanistic studies.See attached file for more information on the group.If you are interested in collaborating with this group, please contact Dr. Limor Goldner (limor.goldner@gmail.com) or myself at natalyap@univ.haifa.ac.il.;https://crowdhelix.com/uploads/post_attachments/61a874f974790_Goldner+Czamanski+BAT%20OR%20ResearcherProfile%202022.pdf
53;Seeking international collaborators for the Horizon Mission call Cancer-02-01;https://crowdhelix.com/opportunities/seeking-international-collaborators-for-the-horizon-mission-call-cancer-02-01-1892;Ruchi Bansal;University of Twente;https://crowdhelix.com/organisation/university-of-twente-6732;Health, Mission Cancer, Liver Health;"Work Package Leader, Consortium Partner

, ";Extracellular vesicles, Liquid biopsy, Tumor microenvironment, Single-cell analysis, Liver cancer, Circulating fibroblasts, Circulating monocytes, Circulating tumor cells;The research in my group is focused on understanding the role of tissue/tumor microenvironment in tumor development. Besides circulating tumor cells, we focus on circulating fibroblasts and circulating monocytes/immune cells, and extracellular vesicles. Using FACS sorting and magnetic enrichment protocols, we can enrich the population we aim to study using single-cell platforms for phenotyping, proteomic (secretome), and genetic (genomic and transcriptomic) analysis. This technology therefore enable early detection and prediction (drug response) using liquid biopsy.;
54;Seeking partners for a transnational call Nutrimmune: Nutrition-responsiveness of the immune system;https://crowdhelix.com/opportunities/seeking-partners-for-a-transnational-call-nutrimmune-nutrition-responsiveness-of-the-immune-system-1893;Ruchi Bansal;University of Twente;https://crowdhelix.com/organisation/university-of-twente-6732;Health, Food, Liver Health;Coordinator, Consortium Partner;Nutrition, Infectious diseases, Healthy lifestyle, Immune systém, Metabolic diseases, Innovative food solutions;This new transnational call aims to address the relationship between nutrition, immunity (including the inflammatory component), and human health by funding top-class transnational and transdisciplinary research consortia. Proposals must be submitted by the coordinator no later than the 21st of April 2022,16.00 CEST.Read more about the call and how to submit a proposal:https://www.healthydietforheal...Please contact me if you are interested in a brainstorm session.;
55;Seeking Collaborators for HLTH-2022-IND-13-02;https://crowdhelix.com/opportunities/seeking-collaborators-for-hlth-2022-ind-13-02-1838;Thomas Heinis;Imperial College London;https://crowdhelix.com/organisation/imperial-college-london-36;Health, Digital, Vascular;"Coordinator, Work Package Leader, Consortium Partner

, ";"Personalised medicine, Precision medicine, Personalised healthcare, Medical data, Clinical medicine
 
, Medical data
, Clinical medicine";We are looking to build a consortium for the HLTH-2022-IND-13-02 call. We bring expertise in data anonymization, secure analytics with privacy guarantees, and secure data storage. We seek complementing expertise but particularly medical practitioners and medical users of data analytics on medical data.;
56;"Seeking International Collaborators for JPND Call ""Understanding the mechanisms of non-pharmacological interventions""";https://crowdhelix.com/opportunities/seeking-international-collaborators-for-jpnd-call-understanding-the-mechanisms-of-non-pharmacological-interventions-1897;Serafí Cambray;IRBLleida;;Health, Food, Citizen Science;Coordinator;Parkinson's disease, Huntington's disease, Nutrition clinics, Community nutrition, Alzheimer's disease, Spinal muscular atrophy, Prion diseases, Motor neuron diseases, Spinocerebellar ataxia;We are leading a proposal for a nutritional intervention on patiens suffering any of these neurological diseases.We are seeking international partners from academia and industry.Academia partners with access to patients suffering any of these diseases are specially appreciated, as well as food industry with the capacity to produce standarized recipes that will be provided by us.We are also seeking for international group with expertise on genomics and/or metabolomics.;
57;Offering expertise on Optimization of vaccine allocation strategies;https://crowdhelix.com/opportunities/offering-expertise-on-optimization-of-vaccine-allocation-strategies-1911;Wouter Kuijpers;Eindhoven University of Technology;https://crowdhelix.com/organisation/eindhoven-university-of-technology-10144;Health, COVID-19;"Work Package Leader, Consortium Partner

, ";Epidemiological modelling, Public health research;The Control Systems Technology (CST) group at the Eindhoven University of Technology is looking to join a consortium targeting the call: EU4H-2022-PJ-07 - Call for proposals to support Member States and other relevant actors to implement relevant results of innovative public health research in relation to vaccination against COVID-19.Within this call, we would like to apply our expertise on the optimization of vaccine allocation strategies. We have developed a Susceptible-Exposed-Infected-Recovered (SEIR) model with age-stratification using data from the Dutch National Institute for Public Health and the Environment (RIVM). The latter model incorporates a contact matrix to indicate interaction between age groups, hospitalizations, a time-varying transmission rate depending on non-pharmaceutical interventions (e.g. lockdowns, public mask-wearing). Within the context of this topic, we can contribute through improving our model, e.g. adding booster shots, people’s behavior, new virus strains, etc. Additionally, we can use the developed model in the optimization of vaccine allocation strategies to improve policy making related to pandemics.The following publication showcase the direction in which our interest extends: arXiv:2112.11908;
58;An Israeli Biomed Nutraceutical Company is searching for an ACADEMIC COORDINATOR for a challenging EIC Pathfinder Open project;https://crowdhelix.com/opportunities/an-israeli-biomed-nutraceutical-company-is-searching-for-an-academic-coordinator-for-a-challenging-eic-pathfinder-open-project-1896;Nadege Grabowski;Zaz Ventures;https://crowdhelix.com/organisation/zaz-ventures-447;Health, Materials, Pathfinder;Chemistry, Neurodegenerative diseases, Liposomes;;The company is developing targeted nutraceuticals in the food supplements domain that could potentially alter the course of degenerative conditions like Parkinson's Disease. This IP-protected nanotechnology is focused on the effective delivery of nutraceutical ingredients to specific anatomical brain sites.;
59;Coordinator is seeking international partners for HORIZON-HLTH-2022-DISEASE-07-03;https://crowdhelix.com/opportunities/coordinator-is-seeking-international-partners-for-horizon-hlth-2022-disease-07-03-1853;Natalie Gordon;Bar-Ilan University;https://crowdhelix.com/organisation/bar-ilan-university-17;Health, Society, Inclusion;Coordinator;Chronic diseases, Non-communicable disease, Diabetes, Healthy lifestyle, Young adults, Adolescents;The INTEGRATE consortium aims to profoundly reduce the risk of chronic diseases and multimorbidity, especially diabetes, by creating a new socially accountable integrated approach for improving the health of young adults and/or adolescents in minority groups residing in social-geographic peripheries. The consortium is looking for European partners.For more information, please see the attached project concept note.;https://crowdhelix.com/uploads/post_attachments/61f68d57d4e1c_INTEGRATE%20Project_Concept%20HLTH-2022-DISEASE-07-03.pdf
60;Seeking international collaborators for the Heath calls;https://crowdhelix.com/opportunities/seeking-international-collaborators-for-the-heath-calls-1878;Efstathios Efstathopoulos;Hellenic Open University;https://crowdhelix.com/organisation/hellenic-open-university-4193;Health, COVID-19, Vascular;"Work Package Leader, Consortium Partner

, ";Cardiovascular imaging, Cancer biomarkers, Imaging biomarkers, Human clinical data, Artificial intellegence;Our Laboratory 2nd Department of Radiology, Medical School, National and Kapodistrian University of Athens at ‘’Attikon’’ General University Hospital offers a large database of patient records and archive of a great number of laboratory and imaging examinations. The Department covers a wide range of Radiology and Medical Imaging disciplines from theoretical to clinical level. We are seeking collaborators for calls related to diseases detection and treatment such as cardiovascular diseases, COVID-19, cancer etc.;
61;Seeking international collaboration on HORIZON-HLTH-2022-TOOL-11-02 call;https://crowdhelix.com/opportunities/seeking-international-collaboration-on-horizon-hlth-2022-tool-11-02-call-1830;João Rodrigues;Associação Fraunhofer Portugal Research;https://crowdhelix.com/organisation/associacao-fraunhofer-portugal-research-10575;Health, Digital, Vascular;"Work Package Leader, Consortium Partner

, ";Digital healthcare, Pharmaceutical drug discovery, Digital twins, Ai for healthcare;Fraunhofer Portugal's Center for Assistive Information and Communication Solutions (FhP-AICOS) main possible contributions are:Monitoring patients after administrating a medical, pharmaceutical drug trial,Make synthetic data of patients' data for monitoring patients if they have a severe condition while on trialsMake digital twins for possible physiological changes of individuals when subjected to a pharmaceutical intake (medical trials),Mimicking conditions of people when subjected to certain medical conditions (using EHR mixed platform).;
62;Looking to join a consortia for the call HORIZON-HLTH-2022-STAYHLTH-01-04-two-stage;https://crowdhelix.com/opportunities/looking-to-join-a-consortia-for-the-call-horizon-hlth-2022-stayhlth-01-04-two-stage-1709;Jose Manuel Valdivielso;IRBLleida;;Health, Vascular;"Coordinator, Work Package Leader, Consortium Partner

, ";Events, Atherosclerosis, Cardiovascular disease, Cohort data, Access to clinical cohorts, Cardiovascular imaging, Chronic kidney disease, Diabetes prevention;We are a clinico-epidemiological/translational science group with access to clinical data/biobanked samples/follow up of two big cohorts of patients (one of chronic kidney disease patients and one of general population with cardiovascular risk factors).We also offer a bank of vascular images (ultrasound) of the cohorts in which we can assess progression of the associated disease (atherosclerosis/vascular calcification). The group also has expertise in animal/celular models.;
63;Seeking potential partner for upcoming Eurostars Call;https://crowdhelix.com/opportunities/seeking-potential-partner-for-upcoming-eurostars-call-1900;Safak Baykal;Tiga Information Technologies;https://crowdhelix.com/organisation/tiga-information-technologies-10637;Health, Virtual Reality;Consortium Partner;Virtual & augmented reality, Game design, Artificial intelligence techniques;"We are planning to apply Eurostars 3 - Call 2 for ""Children with Cerebral Palsy"". The project idea is based on a rehabilitation system that can be easily used at home in order to increase the continuity and frequency of treatment offered to these children.If you are interested, please contact me from safak.baykal@tigahealth.com";
64;Seeking to join consortium as a partner in the upcoming Horizon Call;https://crowdhelix.com/opportunities/seeking-to-join-consortium-as-a-partner-in-the-upcoming-horizon-call-1369;Swarna Jaiswal;Technological University Dublin;https://crowdhelix.com/organisation/technological-university-dublin-5137;Health, Materials, Food;"Work Package Leader, Consortium Partner

, ";Nanomaterials, Biodegradable materials, Nanofibers, Biomaterial characterization, Antimicrobial activities, Acitive food packaging, Sustainable food packaging;We are seeking opportunity to join as a consortium partner or work package leader for the upcoming HORIZON calls.We can offer our expertise in:- Antimicrobial films/coatings,- Biodegradable active food packaging film from natural resources such as essential oils, seaweed extract, natural polyphenols,- Nanofibers (extracted from agricultural waste),- Nano-biomaterials formulation and characterisation,- Cellular Toxicity study.Here is our profile: https://www.dit.ie/fseh/staff/...https://www.dit.ie/fseh/staff/...Please do not hesitate to contact me on e-mail: swarna.jaiswal@tudublin.ie.;
65;Seeking a consortium for personalised blueprint of chronic inflammation - we can access 60+M citizens healthcare data;https://crowdhelix.com/opportunities/seeking-a-consortium-for-personalised-blueprint-of-chronic-inflammation-we-can-access-60-m-citizens-healthcare-data-1707;Safak Baykal;Tiga Information Technologies;https://crowdhelix.com/organisation/tiga-information-technologies-10637;Health, Vascular, Mission Cancer;"Work Package Leader, Consortium Partner

, ";"Population health, Biological perspectives mental health, Personalised healthcare, Big data analysis
";"TIGA is one of the main e-health infrastructure providers in Turkey. TIGA is serving more than 80 million citizens in Turkey. We have expertise in e-health mainly in health analytics, drug traceability, DSS, IoT, sensors, cloud-based systems, data mining, machine learning, ambient assisted living products for elderly and deep learning.• “e-nabız” developed by TIGA, is a personal health record system of Turkish Ministry of Health to enable patients’ access to their own medical records using NHS data and 60 M+ citizen are using e-nabız.Through patient portal (e-nabiz), citizens can reach all examinations, laboratory results, radiological images, prescriptions, any side effects that patients experienced from medications. In addition, patients can share their health records with the physician they want for a certain period of time determined by them, partially or completely.• “National Healthcare System (NHS)”, developed by TIGA, is the Central Exchange Hub under Ministry of Health. The system collects and process data in real time from over 30K Healthcare facilities in Turkey.We are also interested to collaborate:HLTH-2022-STAYHLTH-01-01-two-stage / Boosting mental health in Europe in times of change;HLTH-2022-STAYHLTH-01-04-two-stage / Trustworthy AI tools to predict the risk for chronic non-communicable diseases;HLTH-2022-ENVHLTH-04-01 / Methods for assessing health-related costs of environmental stressors;HLTH-2022-DISEASE-06-02-two-stage / Pre-clinical development of the next generation of immunotherapies for diseases or disorders with unmet medical needs;HLTH-2022-DISEASE-06-04-two-stage Development of new effective therapies for rare diseases;HLTH-2022-DISEASE-07-02 / Pandemic preparedness;HLTH-2022-TOOL-12-01-two-stage / Computational models for new patient stratification strategies";
66;Offering expertise for Smart and multifunctional biomaterials for health innovations (CL4-2021-RESILIENCE-01-13);https://crowdhelix.com/opportunities/offering-expertise-for-smart-and-multifunctional-biomaterials-for-health-innovations-cl4-2021-resilience-01-13-1888;Martina Milano;University of Bologna;https://crowdhelix.com/organisation/university-of-bologna-5206;Health, Materials;"Work Package Leader, Consortium Partner

, ";"Business analysis, Tissue engineering, Advanced therapies, Biomedical devices, Multifunctional treatments, Biocompatibility, Clinical regulations, Artificial organs, Wearable and implantable devices
 
";"We bring expertise from different research groups in the following areas:- Development of plasma-assisted surface treatments; processes that can be investigated during the project: chemical functionalization of polymeric materials, deposition of organic and inorganic coatings, co-deposition of organic/inorganic coatings and nanoparticles, etching. Sustainability and reduced environmental footprint of the developed processes can be targeted through the selection of proper gases/precursors [Prof. Matteo Gherardi].- Novel materials for bioelectronic interfaces. In the past the group developed low-impedance coatings for such interfaces to achieve low-invasive interfaces to peripheral nerves. The Group also functionalized bioelectronic interface to build implantable biochemical sensors. In a current EU project they are involved in investigating organic semiconducting nanoparticles as novel light activated transducers to mediate cell regeneration or to achieve artificial retinal implants. Their technical expertise ranges from nano-characterization techniques (atomic force microsocopy) to microfabrication technology (photolithography). [Prof. Tobias Cramer]";
67;Seeking international collaborators for the Cancer Mission calls;https://crowdhelix.com/opportunities/seeking-international-collaborators-for-the-cancer-mission-calls-1875;Elisabeth Levrau;Q-INSPEX, Universiteit Antwerpen;https://crowdhelix.com/organisation/universiteit-antwerpen-465;Health, Mission Cancer;"Coordinator, Work Package Leader, Consortium Partner

, ";Cancer, Skin cancer, Melanoma images;We are working out a proposal for upcoming calls in the Cancer Mission and are looking for partners with databases of melanoma images. This can be different wavelengths, optical or multispectral images.;
68;Seeking academic and industrial collaborators for the Mission Cancer Horizon Europe call (HORIZON-MISS-2021-CANCER-02-03);https://crowdhelix.com/opportunities/seeking-academic-and-industrial-collaborators-for-the-mission-cancer-horizon-europe-call-horizon-miss-2021-cancer-02-03-1841;Eléonore Fox;Epigene Labs;https://crowdhelix.com/organisation/epigene-labs-10733;Health, Mission Cancer;"Work Package Leader, Consortium Partner, Individual Expert


, ";Oncology, Single cell, Clinical expertise, Patient data, Preclinical model, Spatial transcriptomics;Epigene Labs is creating intelligence-augmenting data science solutions for precision oncology research and drug development. Designed by cancer scientists for cancer scientists, the company’s mCUBE platform catalyzes data-driven patient stratification, biomarker identification and drug discovery to bring better treatments to patients faster.We are seeking academic and industrial collaborators for the upcoming Horizon Europe call: “Better understanding of the impact of risk factors and health determinants on the development and progression of cancer (HORIZON-MISS-2021-CANCER-02-03)”.We can offer our expertise in - multi-omic, multi-cancer and multi-source data aggregation and analysis,- bioinformatics, data science and software engineering,- target and biomarker discovery.We are open to any project aligned with our scientific and technological development roadmap, including but not limited to projects involving single-cell transcriptomics, target and biomarker discovery, multi-omics analysis and selection of preclinical models (cell lines).;
