ID;Reg. kód;Název;Navrhovatel;UČO;Role MU;Středisko;Pracoviště;Anotace
44265;1000/2014;The use of new biotechnologies in the prevention and treatment of biliary stenosis;Andrašina Tomáš, MUDr. Ph.D.;51232;Příjemce-koordinátor;LF;Klinika radiologie a nukleární medicíny; In this proposal I will use hESCs to study the function of centrosome and impact of its numerical anomalies on proliferation and cell differentiation. I believe the proposed project has potential to set a new ground in research pursuing functional aspects of centrosome biology.
44264;0999/2014;Research and application of methods for assessment of intestinal tissue perfusion before and after surgical operations;Veverková Lenka, doc. MUDr. Ph.D.;1681;Příjemce-koordinátor;LF;I. chirurgická klinika;The project aims to assess intersex differences in metabolism and reward processes in a neurodevelopmental animal model (MAM) with high translational potential. The metabolic syndrome common in schizophrenic patients may result either from differences in fat metabolism or in brain pathways responsible for reward processes and consequently a higher preference for reward seeking in the form of food. To distinguish these mechanisms, the project will assess differences in natural reward seeking (sweet food), addictive substances (strong reward circuit stimulation) and differences in levels of markers of adipose tissue metabolism (leptin, adiponectin, AFABP and resistin). The results will contribute to a better understanding of the pathophysiological changes in schizophrenia and open new avenues for the development of pharmacotherapy of its comorbidities.
44252;0996/2014;Determination of residual plasma analgosedation levels in intensive care unit patients;Součková Lenka, PharmDr. Ph.D.;270934;Příjemce-koordinátor;LF;Farmakologický ústav;The current challenge in Parkinson's disease (PD) is to find a surrogate biomarker to diagnose the disease at early stage and to develop neuroprotective agents which can halt progression of the disease. This project aims to develop a non radioactive MRI biomarker for detection of early microstructural and neuronal changes in rotenone animal model using diffusion tensor imaging (DTI) and functional MRI. We will also evaluate the hypothesized neuroprotective effect of antibiotic rifampicin and α-synuclein aggregation inhibitor mannitol using molecular, behavioral and neuroimaging studies. Results of this proposal are expected to identify 'at-risk' subjects, monitor PD progression with neuroprotective therapy and update our knowledge on pathophysiological bases of PD development.
44251;0995/2014;Signaling pathways of receptor tyrosine kinases and MAP kinases as potential therapeutic targets in high-risk childhood sarcomas;Štěrba Jaroslav, prof. MUDr. Ph.D.;348;Příjemce;LF;Klinika dětské onkologie;Multiple myeloma (MM) is a haemato-oncological disease that
44249;0993/2014;New progressive device for monitoring the prognosis of patients with hematological malignancies;Masařík Michal, prof. RNDr. Ph.D.;21142;Příjemce-koordinátor;LF;Ústav patologické fyziologie;relapses in most patients despite major advances in
44248;0992/2014;Application of molecular genetic in vitro assay to predict the therapeutic response of head and neck tumors to radiotherapy.;Raudenská Martina, Mgr. Ph.D.;42700;Příjemce-koordinátor;LF;Ústav patologické fyziologie;treatment. Although the markers of relapse used today are reliable,
44246;0989/2014;Demonstration of the effectiveness of laparoscopic simulators (VRS) in surgical practice;Paseka Tomáš, MUDr.;51159;Příjemce;LF;I. chirurgická klinika;their availability and detection are quite challenging. On the contrary, freely circulating
44245;0988/2014;Determination of the effect of cold blood cardioplegia perfusion of coronary artery bypass graft on the integrity of its endothelium;Křen Leoš, doc. MUDr. Ph.D.;24010;Partner;LF;Ústav patologie;DNA molecules (cfDNA) are present in peripheral blood and are therefore more readily available and could be
44244;0987/2014;Cardiotoxicity of BCR-ABL tyrosine kinase inhibitors;Babula Petr, prof. PharmDr. Ph.D.;14996;Příjemce;LF;Fyziologický ústav;a suitable marker of relapse. Since higher levels of cfDNA are found in cancer patients
44201;0984/2014;Gamma-delta analysis of tumor cell-reactive T cells in patients with B-cell chronic lymphocytic leukemia: a new approach to cell therapy;Knight Andrea, Mgr. Ph.D.;118360;Příjemce-koordinátor;LF;Ústav patologické fyziologie;and high concentrations have been associated with treatment resistance, it is
44227;0983/2014;Comparative analysis of BCR/ABL inhibitors on anti-tumor reactivity of effector gamma/delta T lymphocytes in CML patients;Knight Andrea, Mgr. Ph.D.;118360;Příjemce-koordinátor;LF;Ústav patologické fyziologie;it is possible that cfDNA in MM patients also carries a specific IgH clone sequence present in
44199;0980/2014;Phenotypes of impulsivity in neuropsychiatric disorders and their clinical significance;Kašpárek Tomáš, prof. MUDr. Ph.D.;54879;Příjemce-koordinátor;LF;Psychiatrická klinika;malignant bone marrow plasma cells. This paper will focus on the fluctuation of
44197;0975/2014;Development of new low molecular weight anticancer drugs based on the principle of synthetic lethality;Krejčí Lumír, doc. Mgr. Ph.D.;18098;Partner;LF;Biologický ústav;cfDNA molecules carrying the specific IgH rearrangement during the first year after
44196;0973/2014;Interaction of low molecular weight inhibitors of energy metabolism and cell proliferation pathways - impact on the efficacy of targeted cancer therapy;Uldrijan Stjepan, Mgr. CSc.;104691;Příjemce;LF;Biologický ústav;MM
44195;0972/2014;Changes in immunological reactivity in patients with recurrent aphthae;Izakovičová Hollá Lydie, prof. MUDr. Ph.D.;734;Partner;LF;Ústav patologické fyziologie;diagnosis
44205;0971/2014;Effect of inflammation and material damage on the function of stents applied above the specified expansion;Pávková Goldbergová Monika, prof. RNDr. Ph.D.;9447;Příjemce-koordinátor;LF;Ústav patologické fyziologie;and their role in the pathophysiology of the disease.
44204;0970/2014;Evaluation of pro-inflammatory factors in rheumatoid arthritis, psoriatic arthritis and primary osteoarthritis with a focus on the role of the IL-15 pathway;Pávková Goldbergová Monika, prof. RNDr. Ph.D.;9447;Příjemce-koordinátor;LF;Ústav patologické fyziologie;The cannabinoid hypothesis of schizophrenia as a neurodevelopmental disorder is supported by extensive experimental and clinical evidence, which also suggests its potential clinical benefit through pharmacological modulation of the endocannabinoid system as a novel therapeutic approach to psychosis. This project aims to assess changes in endocannabinoid signaling in a neurodevelopmental rat model using molecular, behavioral, and neuroimaging studies. The ability of cannabinoid ligands to reverse the schizophrenia-like phenotype in the model will also be evaluated. The expected outcome of the project is to refine our knowledge of the pathophysiological basis of schizophrenia as a neurodevelopmental disorder and to open new perspectives for the development of novel antipsychotic drugs.
44194;0969/2014;Role of selected genetic factors in the etiopathogenesis of rheumatic polymyalgia and giant cell arteritis;Pávková Goldbergová Monika, prof. RNDr. Ph.D.;9447;Příjemce;LF;Ústav patologické fyziologie;Our objective of this project is the exploitation of adipose-tissue derived srem cells scafford and in vitro tissue model in three dimension (3D) for the treatment of neurological disease, namely cerebral palsy (loosely interpreted as brain paralysis ) and stroke.
44203;0968/2014;Development of a new molecular typing system for the syphilis agent, Treponema pallidum subsp. pallidum;Šmajs David, prof. MUDr. Ph.D.;1116;Příjemce;LF;Biologický ústav;This project aims to determine the role of sumoylation in repairing double-strand breaks (DSBs) in DNA. Several pathways are involved in DSB repair, including non-homologous end joining (NHEJ) and homologous recombination (HR), which also involves repair by seeding of complementary single-stranded stretches of DNA (SSA). To achieve our intended goal, we will characterize several factors involved in the NHEJ (Lifl and Sae2) and SSA (Radí, Saw1, Rad59 and RPA) mechanisms. We will focus on determining the effect of sumoylation on the properties of the studied proteins as well as their effect on DSB break repair using a combination of biochemical, genetic, biophysical, molecular and cell biological methods. Specific details and timeline are provided in the sub-objectives and methodology. The results of this project will not only help to elucidate the complex role of sumoylation in repairing DSB breaks, but also to understand the possible regulation of these repair mechanisms and their potential use in the treatment of diseases associated with genomic instability, including cancer.
44193;0967/2014;The effect of education on selected psychosomatic factors in patients indicated for vascular prosthesis implantation;Juřeníková Petra, Mgr. Ph.D.;56694;Příjemce-koordinátor;LF;Ústav zdravotnických věd;The project objectives are based on robust pilot data (Knight et al., Cythotherapy 2012) describing potent cytotoxicity of effector gamma-delta (γδ) T cells against primary myeloma plasma cells. We aim to identify key interactions between myeloma-reactive Vδ1 and Vδ2 T cells and plasma cells or plasmablasts in peripheral blood and paired matched bone marrow samples in MGUS and MM patient cohorts. Costimulations of effector and target myeloma cells with bone marrow stromal cells or plasmacytoid dendritic cells will bring insights into the pathophysiology of monoclonal gammopathy and will provide new possibilities of exploiting γδ T cells in future adoptive immunotherapy.
44192;0966/2014;National programme for the study of mutations and clonality of leukemia cells in patients with acute myeloid leukemia;Čulen Martin, PharmDr. Ph.D.;233554;Partner;LF;Interní hematol.a onkol.klinika;Increasing life expectancy contributes to the rising prevalence of chronic conditions. For that reason increasing in life expectancy in developing countries will also become a crucial issue and put chronic care management in the core priorities of all nations.
44175;0964/2014;Cardiac magnetic resonance imaging in early heart failure in DMD/BMD patients, correlation with severity of neurological, animal and cellular involvement;Rotrekl Vladimír, Mgr. Ph.D.;699;Příjemce;LF;Biologický ústav;For that reason advancing the process for a common understanding the concept of patient's empowerment of this term is the main objective of this project, and according to the call this will be focus on empowering patients in management of chronic diseases.
44174;0963/2014;Identification of new treatment options for chronic myeloid leukemia by systematic analysis of the BCR-ABL protein interactome;Krejčí Pavel, RNDr. Ph.D.;101398;Příjemce;LF;Biologický ústav;" These important epidemiologic changes, had made emerge a process of multiple health reforms all over Europe aiming to increase sustainability and move from an acute base care paradigm to focus on a paradigm of chronic care management. In that sense the Chronic Care model framework is one of the key chronic disease paradigms of the 21st century. In the framework, ""informed, motivated and prepared"" patients, health care teams and community partners are at the core of the approach. It is widely believed that improved health and disease management outcomes can be achieved by supporting an individual's abilities and skills in critical thinking, decision making and problem-solving and become active part of their disease management by introducing encouraging self management."
44173;0962/2014;Identification of new treatment options for achondroplasia through analysis of the interaction between FGFR3 and the adapter protein Frs2;Krejčí Pavel, RNDr. Ph.D.;101398;Příjemce;LF;Biologický ústav;Transplantation of cardiomyocytes (CMs) derived from pluripotent cells opens a new strategy for the treatment of heart disease. The purpose of this project is to bring together high quality national and international laboratories to unravel the functional link between induced and genetically modeled pathologies of cardiac electrophysiology at the cellular and whole organism level. Using advanced technologies for induction of pluripotent cells and their differentiation, an artificial biological pacemaker will be created to correct the model ablation of the cardiac conduction system. More efficient differentiation into CMs with spontaneous activity will be achieved by induced expression of specific ion channels in these cells. Unique functional testing of the cells will allow detailed analysis of the cells used for cell therapy before and after transplantation, similar to the analysis of model diseases. The above measurement of electrical activity combined with contractile force measurements has never before been used to characterize cardiac cells. The ablation and transgenic models represent an ideal intersection of the use of artifactual CMs and potential therapies.
44189;0961/2014;Testing recombinant probiotics inhibiting the growth of intestinal pathogens under in vivo conditions;Šmajs David, prof. MUDr. Ph.D.;1116;Příjemce;LF;Biologický ústav;Stem cells (SCs) are a unique cell type characterized by the ability to self-renew and simultaneously differentiate into many specialized cell types. In the last two decades, the issue of KBs has penetrated almost all fields of biological sciences, especially due to the therapeutic potential of KBs from the perspective of regenerative medicine, or the possibility of targeting KBs in serious diseases, including cancer. This makes KB research highly multidisciplinary and as such requires a shared and focused effort to achieve practical applications. In line with this requirement, collaborations have previously been established between some teams in the Czech Republic investigating different aspects of different types of KB. This project proposes to build on these links and to complete them into a Centre bringing together six top teams from six distinguished institutions in three regions of the Czech Republic. Thanks to the complementarity of the expertise and instrumentation of the individual teams, the range of KB types studied, and the new degree of research coordination, the established Centre will raise the research and educational activities of the Czech Republic in the field of KB research to a level that would otherwise be impossible to achieve.
44170;0957/2014;Cellular markers leading to specific tailored treatments for schizophrenic patients;Wadeley Yuh-Man, doc. Doctor of Philosophy;115923;Příjemce;LF;Biologický ústav;"An idea of the project is to study changes ofin short term blood pressure regulation (baroreflex; BR) in adolescents and adults. Nowadays, only the heart rate branch of BR is studied but little is known about the heart contractility or vessel resistance branches. The technical aim is to study one- (bioimpedance, photoplethysmography) or multi-dimensional (ultrasound) signals, and develop new methodologies for the estimation of particular BR branches gains and calculate complex index of BR sensitivity. A genetic team: structural genes and genes of hormones/receptors that influences BR; biochemical team: plasma levels of different parameters (minerals, leptin, etc.) and how they influence gains of BR. The physiological and clinical teams: changes of BR branches in several models (hypertension, heart failure, etc.). The results of all teams will bring new understandings about the blood pressure regulation that can lead to improved detection the better distinguishing of patients subgroups with the same symptoms but different pathophysiological mechanisms, and therefore more appropriate therapy choice."
44187;0956/2014;Study of the development and progression of hematological malignancies in a mouse model containing human microenvironment.;Čulen Martin, PharmDr. Ph.D.;233554;Příjemce;LF;Interní hematol.a onkol.klinika;DNA is subject to continuous attacks of endogenous and exogenous origin. At the level of all organisms, these pressures are offset by a network of DNA damage response (DDR) processes that mediate genome control and repair. The biological significance of these processes is evident from the fact that defects in the DDR network predispose to various serious diseases and their subsequent development. The proposed project involves 6 teams with synergistic models and expertise to identify novel components and regulation of DDR responses, contributing to the elucidation of the underlying mechanisms and coordination of DNA replication, recombination and repair. The project will also provide low-molecular-weight modulators of key DDR enzymes, enabling the development and validation of tools to better understand the mechanisms and aberrant processes that constitute protection against factors that threaten genome integrity. This output will enable the development of innovative therapies as well as the optimization of existing therapeutic regimens used to treat cancer.
44184;0951/2014;Long-term effects of gestational diabetes mellitus on mother and child: the importance of new diagnostic criteria;Kaňková Kateřina, prof. MUDr. Ph.D.;2524;Příjemce-koordinátor;LF;Ústav patologické fyziologie;The main objective of the project is to prepare, modify and test micro- and nano-particles for nanomedicinal purposes. Primarily, we will prepare particles of various compositions chemically and/or physically. These particles will be characterized to found their shapes and dimensions. Then, the particles will be modified with various chemical agents and biomolecules as peptides, proteins and nucleic acids. Particles of defined shapes and dimensions with modified surface will be primarily tested on tumour and non-tumour cell lines. The particles will be monitored by modern in vivo imaging methods including confocal microscopy and optical tomography. The optimized in vivo imaging protocols will be subsequently applied to experimental animals bearing tumours. The particles will serve on side as labels of tumour development and as tools for targeted drugs delivery that may overcome resistance and decrease drug side effects. Both applications will be investigated to find types of materials and modifications suitable for in vivo imaging and drug delivery systems.
44167;0949/2014;Selected social determinants of physical activity and nutrition in the prevention of childhood obesity in the Czech Republic;Forejt Martin, Mgr. Ph.D.;16739;Příjemce;LF;Ústav veřejného zdraví;Centre for Orofacial Development and Regeneration
44164;0946/2014;Controversial cervical vertigo in symptomatic cervical spondylogenic spondylosis and its relation to the vertebrobasilar system;Bednařík Josef, prof. MUDr. CSc.;1308;Partner;LF;Neurologická klinika;"The aim of the present project is to provide important information on the molecular mechanisms involved in the pathogenesis of multiple myeloma (MM), which would lead to the estimation of oncogenic interventions associated with the cell cycle as a continuous complex background of malignant transformation of MM.  We hypothesize that during the pathogenesis of MM, the expression of a set of genes associated with the activation of cell cycle progression is in dynamic equilibrium with the expression of a set of genes inhibiting this process.  This equilibrium functions as a compensatory mechanism for oncogenic events. Despite the existence of a compensatory mechanism, the regulation of the cell cycle is not balanced because of the increasing ""oncogenic pressure"" during the pathogenesis of MM. We hypothesize that at any given time, different subpopulations of MM cells are present in the body that may constitute a reservoir for tumor renewal, growth, and dissemination.  We hypothesize that B cells are crucial here and serve as the starting point for initiating oncogenic events in MM cells. New findings based on basic research could be translated into applied research, which could help overcome the lethal consequences of the disease."
44107;0944/2014;Circulating nucleic acids as markers of multiple myeloma progression;Ševčíková Sabina, doc. RNDr. Ph.D.;18245;Příjemce;LF;Ústav patologické fyziologie;In cell culture and tissue engineering, biomaterials act as an intercellular matrix (ECM) to cells, providing both support and key signals for growth and differentiation. Therefore, biomaterial surfaces must provide analogous ligands for binding cellular
43943;0931/2014;Decubitus lesion registry - unifying monitoring and prevention strategies at national level;Pokorná Andrea, prof. PhDr. Ph.D.;98239;Příjemce-koordinátor;LF;Ústav zdravotnických věd;receptors, integrins, which correspond in molecular structure and spatial arrangement to ECM structures. The aim of the project is to develop specific chemical approaches for modifying the surface of materials with ligands in nano-domains in which the arrangement of peptide ligands allows functional clustering of integrins. The surface modification will use the polydopamine-polyethylene oxide system as a protein-repulsive reactive interlayer and the alkyne-azide cycloaddition reaction (CuAAC) for selective peptide binding. The
43884;0928/2014;Influence of granulocytes and monocytes on the origin and development of immunodeficiency diseases and other immunopathological processes;Vlková Marcela, Mgr. Ph.D.;67941;Příjemce-koordinátor;LF;Ústav klin. imunologie a alergolog.;domains will be generated both by lithography using the photocatalyzed CuAAC reaction and by AFM and nanocontact catalysis techniques. The success of the modification will be quantitatively assessed by
43383;0871/2014;Innovative analytical growth transmission electron microscope;Hampl Aleš, doc. MVDr. CSc.;47170;Partner;LF;Ústav histologie a embryologie;radioisotope-labeled ligands and SEM microscopy. Adhesion, proliferation and differentiation of human embryonic stem cells will be analyzed on the modified surfaces.
43205;0856/2014;INDICANT = a novel INtegrative DIagnostiC platform for stratified Approaches to the targeted treatmeNt of mulTiple myeloma;Ševčíková Sabina, doc. RNDr. Ph.D.;18245;Partner;LF;Ústav patologické fyziologie;Although magnetic resonance imaging (MRI) has enabled significant advances in understanding brain architecture and
42783;0771/2014;Multilocus sequence analysis of clinical isolates of Treponema pallidum examined in the Czech Republic and Argentina;Šmajs David, prof. MUDr. Ph.D.;1116;Příjemce;LF;Biologický ústav;structure-function relationships
42291;0711/2014;Centrosomal abnormalities in human pluripotent stem cells;Hampl Aleš, doc. MVDr. CSc.;47170;Příjemce-koordinátor;LF;Děkanát;, there is still limited knowledge of the microscopic sources of MRI findings. This fact complicates the ability to interpret MRI
42287;0701/2014;Effect of diabetic microenvironment on selected processes in colorectal cancer, its clinical course and response to therapy;Pácal Lukáš, Mgr. Ph.D.;14473;Příjemce;LF;Ústav patologické fyziologie;findings in the context of health and disease. Specifically, there are almost no data on the causes of MRI findings in schizophrenia, and we do not know whether
42278;0694/2014;The fate of aneuploid cells in the developing embryo and stem cell population;Anger Martin, doc. MVDr. CSc.;105600;Příjemce;LF;Ústav histologie a embryologie;treatment-induced
42260;0684/2014;The role of FGF2 secretion in human pluripotent stem cell physiology;Dvořák Petr, prof. Ing. CSc.;47260;Příjemce-koordinátor;LF;Biologický ústav; changes
42267;0669/2014;Direct reprogramming of human somatic cells to neural lineage using microRNA modulationn;Bárta Tomáš, Mgr. Ph.D.;106061;Příjemce;LF;Ústav histologie a embryologie;represent an alteration of primary neuropathology or a non-significant epiphenomenon. To address these issues, we propose the development of animal
42245;0660/2014;Analysis of receptor tyrosine kinase signaling pathways in high-risk sarcomas of childhood;Štěrba Jaroslav, prof. MUDr. Ph.D.;348;Příjemce;LF;Klinika dětské onkologie;models with combined macroscopic and microscopic analysis of changes induced by brain pathology and its treatment. We propose a comprehensive
42222;0656/2014;Heart failure in genetic and drug-induced cardiomyocyte insufficiency;Pešl Martin, MUDr. Ph.D.;60014;Příjemce-koordinátor;LF;Biologický ústav;approach (multimodal high-field 9.4 T MRI imaging, histological and immunohistochemical examination) to analyze the
42241;0655/2014;Microenvironment-induced phenotypic plasticity of cultured embryonic stem cells;Vaňhara Petr, doc. RNDr. Ph.D.;43385;Příjemce;LF;Ústav histologie a embryologie;brain
42221;0653/2014;Mapping of genetically distinct groups of Treponema pallidum ssp. pallidum, the causative agent of syphilis, and identification of differences in virulence in an animal model;Paštěková Lenka, Mgr. Ph.D.;72338;Příjemce-koordinátor;LF;Biologický ústav;architecture
42238;0651/2014;Nanostructured surface materials for biomedical applications;Jaroš Josef, Ing. Ph.D.;100474;Partner;LF;Ústav histologie a embryologie;, its cells and their interaction structure, the consequences of early developmental lesions and their potential for modification (i.e., the nature of the effect of chronic
42219;0648/2014;Identification of Patterns in Intracellular Receptor Tyrosine Kinase Signaling;Krejčí Pavel, RNDr. Ph.D.;101398;Příjemce-koordinátor;LF;Biologický ústav;antipsychotic administration) in rodent and neurodevelopmental animal models of schizophrenia (polyinosinic-polycytidylic acid).
42218;0647/2014;Prediction of therapeutic efficacy of EGFR tyrosine kinase inhibitors by microRNA-30 analysis;Gumulec Jaromír, MUDr. Ph.D.;185198;Příjemce;LF;Ústav patologické fyziologie;It is well known that cardiovascular diseases represent a no. 1 mortality cause in the Czech Republic and expectations that this situation would radically improve in a near future are low. We would like to address a hot topic of long-term endurance of critically loaded coronary stents. This issue becomes increasingly important for two reasons: (i) the average life length of patients with implanted stents increases and (ii) a statistically relevant number of reported stent failures is growing. The field of NiTi shape memory research is fast moving. In about last ten years, the leading international materials laboratories focused on two fundamental topics related to (i) MMTs in Ni-rich alloys and (ii) an interplay between dislocation structure and the MTs.
42217;0646/2014;Understanding the crosstalk among DNA repair pathways upon genome integrity maintanance in human pluripotent stem cells;Rotrekl Vladimír, Mgr. Ph.D.;699;Příjemce-koordinátor;LF;Biologický ústav;The project is oriented to research of electronic systems for biometric detection of human vital functions in security applications. Main aim of the project is to study human vital functions, which could be used for detection of a living human body for biometric purposes, and to design of an electronic system for detection of liveness of a subject by analysis of skin parameters, images of retina and hand bioimpedance. Further, influence of skin, eye and cardiovascular diseases to biometry effectiveness will be studied. Selected human vital functions will be specified and described incl. their pathology with possible impact to acquisition and processing of these functions. An electronic system incorporating algorithms for verification of human identity and simultaneous checking of genuineness of vital characteristics of a presented biometric feature will be designed. The realized system with implemented algorithms will be verified on experimental data acquired from healthy volunteers and patients.
42216;0645/2014;Metallothionein as a key player in the invasiveness of prostate cancer: Single cell analysis.;Masařík Michal, prof. RNDr. Ph.D.;21142;Příjemce-koordinátor;LF;Ústav patologické fyziologie;Huntington's disease (HD) is a monogenic, autosomal dominant, neurodegenerative disease. Comparison of HD development in patients and in a large animal model of HD that is long-lived and physiologically close to humans is highly desirable. In 2009, a transgenic (TgHD) minipig for the N-terminal fragment of human mutant huntingtin was generated at the Institute of Human Genetics. Skin fibroblasts isolated from HD patients and controls of the same age, from TgHD minipassages and their healthy (WT) siblings will be cultured in vitro and their ability to repair damaged DNA as well as the bioenergetic function of mitochondria will be studied. Quantitative and qualitative parameters of sperm obtained from patients and controls of the same age, from TgHD boar minipigs and their healthy (WT) siblings will be continuously investigated. Comprehensive ultrastructural analysis of skin fibroblasts and spermatozoa will be performed, focusing on autophagosomes and mitochondria. Comparison of non-invasive parameters in HD patients and TgHD minipigs may shed light on pathophysiological and therapeutic aspects of HD. The aim of this project is to develop a set of non-invasive parameters that characterize the development of Huntington's disease in HD patients and in TgHD minipigs. Attention will be focused on: the ability of skin fibroblasts to repair damaged DNA, bioenergetic parameters of mitochondria, quantitative and qualitative parameters of spermatozoa, ultrastructure of fibroblasts and spermatozoa. The project is submitted by prof. MUDr. Jan Roth, CSc., 1st Faculty of Medicine, Charles University in Prague, prof. MVDr. Jan Motlík, DrSc., Institute of Animal Physiology and Genetics, CAS, v.v.i. and doc. MUDr. Miroslava Sedláčková, CSc., Faculty of Medicine, Masaryk University in Brno.
42215;0644/2014;Novel bacteriocin molecules: identification, molecular characterization and antimicrobial activity during experimental infection;Šmajs David, prof. MUDr. Ph.D.;1116;Příjemce-koordinátor;LF;Biologický ústav;The aim of the project is to evaluate the dynamics of hypoxia as well as edema and hydrocephalus after SAK using MRI in animal models. These parameters will be
42214;0643/2014;Complex response of head and neck cancer cells to different types of radiation and replication stress;Raudenská Martina, Mgr. Ph.D.;42700;Příjemce;LF;Ústav patologické fyziologie;scanned for eight hours after SAK and compared between the following groups: control, moderate and severe SAK. Appropriate markers
42236;0642/2014;New nanotransporters in targeted therapy - new insights into doxorubicin;Nováková Marie, prof. MUDr. Ph.D.;1188;Příjemce-koordinátor;LF;Fyziologický ústav;characterizing early changes in the brain parenchyma will be determined using several MRI methods (relaxometry,
42230;0633/2014;Mechanism and consequences of the interaction of fibroblast growth factor receptor (FGFR) with the signaling adaptor FRS2;Bosáková Michaela, Mgr. Ph.D.;106056;Příjemce-koordinátor;LF;Biologický ústav;diffusometry, strain gauge, perfusionometry, susceptible weighting, spectroscopy) and multimodal data processing methods. The
42208;0629/2014;Interstitial impurities in NiTi-based shape-memory alloys;Pávková Goldbergová Monika, prof. RNDr. Ph.D.;9447;Příjemce;LF;Ústav patologické fyziologie;aim of this study
42226;0625/2014;Free circulating DNA and circulating microRNA as a new tool for detection of minimal residual disease in multiple myeloma;Ševčíková Sabina, doc. RNDr. Ph.D.;18245;Příjemce;LF;Ústav patologické fyziologie;is to obtain accurate images of brain tissue at different time intervals to provide the best possible imaging method for decision support
42205;0621/2014;Physiological and pathophysiological properties of the cardiovascular system studied by ultrasound and bioimpedance methods;Nováková Zuzana, MUDr. Ph.D.;2702;Příjemce;LF;Fyziologický ústav;in acute stroke in clinical and preclinical practice and in accurate evaluation of reproducible pathways in
42137;0610/2014;Genomic changes in cell cycle regulation in the development of monoclonal gammopathies;Němec Pavel, Mgr. Ph.D.;78094;Příjemce;LF;Ústav patologické fyziologie;induced stroke in animal models.
42194;0606/2014;The role of microRNAs in controlling cell division and differentiation of human embryonic stem cells into neural stem cells.;Bohačiaková Dáša, Mgr. Ph.D.;123980;Příjemce;LF;Ústav histologie a embryologie;Serious infections, especially nosocomial infections, are associated with high mortality rates, where treatment is challenging and not always successful. It is often very difficult to
42125;0581/2014;Affective response to visual art: linking art and neuroscience perspectives;Kesner Ladislav, prof. PhDr. Ph.D.;82366;Příjemce;FF;Seminář dějin umění;identify the causative organisms of these infections without
42088;0566/2014;Cortical and subcortical sources of interactions between affective and social cognitive processes;Bareš Martin, prof. MUDr. Ph.D.;2002;Příjemce;LF;Lékařská fakulta;amplification or culture within hours to ensure optimal antimicrobial therapy. The
42045;0556/2014;Protein tyrosine phosphatase 1B (PTP1B) and early fate decisions in human embryonic stem cells;Wadeley Yuh-Man, doc. Doctor of Philosophy;115923;Příjemce;LF;Biologický ústav;proposed project envisages preconcentration, pre-separation of multidrug-resistant Gram-negative bacteria from real clinical samples using
57387;1707/2016;Centriole functions in proliferation and differentiation;Čajánek Lukáš, Mgr. PhD.;40690;Příjemce;LF;Ústav histologie a embryologie;newly developed phenotypic techniques especially electrophoretic, followed by analysis of selected microorganisms or their lysates
55889;0766/2016;Non-smoking homes - continuation;Fialová Jana, Mgr. Ph.D.;270898;Příjemce;LF;Ústav veřejného zdraví;using electrophoretic and modified 2-D techniques, liquid chromatography in on-line combination with MALDI-TOF MS in order to obtain
54542;0515/2016;Pillar II - workplace 110517;Hampl Aleš, doc. MVDr. CSc.;47170;Příjemce;LF;Ústav histologie a embryologie;information on characteristic surface properties of whole cells, proteomic profiles, fingerprints from their lysates or characteristic
54607;0514/2016;Pillar II - workplace 110513;Dvořák Petr, prof. Ing. CSc.;47260;Příjemce;LF;Biologický ústav;biomarkers, to compare the properties of cultured microbes and those taken from clinical samples, to evaluate the effect of antimicrobial agents.
54541;0513/2016;Pillar II - workplace 110212;Mayer Jiří, prof. MUDr. CSc.;212;Příjemce;LF;Interní hematol.a onkol.klinika; The end result will be the design of new rapid methodologies to identify the causative agents of serious infections and appropriate antimicrobial agents.
53568;0069/2016;A molecular toolkit for testing therapeutics targeting RTK signalling receptors;Fafílek Bohumil, Mgr. Ph.D.;237351;Příjemce-koordinátor;LF;Biologický ústav;Subarachnoid haemorrhage (SAK) is a serious condition associated with high mortality. For this reason, SAK has been the subject of intensive study both clinically and experimentally. Vasospasm and, more recently, early brain injury are the most frequently studied pathological conditions associated with SAK. Inflammation is an important factor involved in early brain injury, and inflammation is also closely associated with vasospasm. miRNAs play an important epigenetic role in the regulation of inflammation, but the expression levels of miRNAs associated with inflammation have not yet been described after SAK. The aim of this project is to describe the expression of inflammation-associated miRNAs in the early post-hemorrhage period in an experimental model of SAK.
53507;0057/2016;Biotyping of human cell cultures and implementation of routine quality control using mass spectrometry and advanced mathematical methods;Vaňhara Petr, doc. RNDr. Ph.D.;43385;Příjemce;LF;Ústav histologie a embryologie;The genus Treponema includes bacterial species and subspecies that are obligate pathogens of humans and animals and are characterized by varying degrees of pathogenicity and host specificity and the general impossibility of cultivation under in vitro conditions. These bacteria are also characterised by their ability to escape the immune system of the host and this ability is related to the genomic variability of the treponemal strain. Thus, the detection of variable sites at the level of the respective treponemal strain may lead to a greater understanding of the mechanisms of pathogenesis of treponemal diseases. In this study, we propose to identify variable stretches in the genomes of selected treponemal strains based on in silico analysis of available sequencing data, to further characterize intra-strain variability in the syphilitic strain DAL-1 during experimental infection in rabbit, and to identify genetic variability in treponemal DNA isolated from human clinical material.
