Id;Kód MU;Zahájení;Název projektu;Řešitel (MU);UČO;Ukončení;Role MU;Investor/Program/Podprogram;HS/součást MU;Pracoviště HS/součásti;Další HS/součást MU;Finance pro MU;- měna;Apl. výzkum;Anotace;Příslušné pracoviště MU
39364;MUNI/A/0910/2017;1.1.2018;Study of the molecular basis of selected pathologies and diseases;doc. RNDr. Josef Tomandl, Ph.D.;47;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Biochemický ústav;;1 100 000;Kč;Ne;the incidence of difficult airway in the pediatric population is low compared to the adult population and the majority of difficult DC provision in the pediatric population is predictable using standard tests;Odbor výzkumu (OV)
39343;MUNI/A/0911/2017;1.1.2018;INTRAVENOUS ADMINISTRATION OF HIGH DOSES OF VITAMIN C - IMPACT ON PATIENT QUALITY OF LIFE, AWARENESS AND OPINIONS OF THE PROFESSIONAL AND LAY PUBLIC;Mgr. Alena Pospíšilová, Ph.D.;59873;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav zdravotnických věd;;500 000;Kč;Ne;In the Czech Republic, 600 to 1200 children with moderate hearing loss and 100 children with very severe hearing loss are diagnosed each year. Hearing defects affect 1:1000 physiological newborns and 20-40:1000 pathological newborns. Compared to other childhood diseases that are caught by full-body screening, such as phenylketonuria (1:4500 newborns) or hypothyroidism (1:4000 newborns), this is a very common disability with far-reaching consequences. Up to 60% of hearing defects are congenital, occurring during the first trimester of pregnancy, and 40% are acquired. A child with a hearing loss is at risk of delayed psychomotor development, limited learning ability, difficulties in integrating into society, and problems in entering the labour market later in life. Modern medicine is constantly looking for ways to adequately rehabilitate hearing. The aim of the project is to monitor the effectiveness and compare different options of hearing rehabilitation (cochlear implants, hearing aids, BAHA, middle ear implants) in children of different ages and with different types of hearing loss. The project builds on the results of the 2017 research.;Odbor výzkumu (OV)
39335;MUNI/A/0925/2017;1.1.2018;Disorders of antibody production and complement system;prof. MUDr. Jiří Litzman, CSc.;403;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav klin. imunologie a alergolog.;;700 000;Kč;Ne;The project focuses on the causative agents of nosocomial infections, their diagnosis, assessment of their clinical significance and the possibility of therapy of infections caused by these agents. In addition to the usual causative agents (multidrug-resistant pseudomonads and other Gram-negative bacteria, staphylococci, including MRSA, Candida albicans, C. glabrata, etc.), the role of other microbes, previously considered to be of minor importance (e.g. Propionibacterium acnes, Candida parapsilosis complex, coagulase-negative staphylococci, etc.) is increasing. The underestimation of their role in the etiology of nosocomial diseases may be due, among other things, to difficulties in their isolation and identification. Correct assessment of their role in the pathogenesis of the disease, especially differentiation from possible contaminants, is also essential. The project addresses comprehensively the issue of their diagnosis, with emphasis on the optimisation of diagnostic schemes as well as the design and validation of new identification and typing methods, including molecular biological techniques and methods based on capillary electrophoresis, Raman spectrometry and mass spectrometry. The clinical relevance of the agents under investigation will also be assessed by monitoring their prevalence and demonstrating the presence of virulence factors. The project also includes the search for new preventive and therapeutic approaches for these infections, including the use of bacteriophages.;Odbor výzkumu (OV)
39355;MUNI/A/0968/2017;1.1.2018;New approaches in research, diagnosis and therapy of haematological malignancies V;RNDr. Ludmila Šebejová, Ph.D.;85269;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Interní hematol.a onkol.klinika;;2 000 000;Kč;Ne;The aim of the research is to experimentally verify and evaluate the possibilities of diagnosis of cystic fibrosis by skin smear method in patients dispensed at the Cystic Fibrosis Centre of the University Hospital Brno. The specific method is the simultaneous analysis of multiple target ions by capillary electrophoresis with non-contact conductometric detection and determination of their mutual ratio.;Odbor výzkumu (OV)
39337;MUNI/A/0976/2017;1.1.2018;The use of neuroimaging, neurostimulation and neurofeedback methods in psychiatry;Mgr. Bc. Pavla Linhartová, Ph.D.;361780;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Psychiatrická klinika;;650 000;Kč;Ne;The project proposal builds on the results of previous specific research projects for 2016 and 2017. The main aim of the current project is to study inflammatory changes in the plexus choroideus (CP) of the laboratory rat after induction of subarachnoid haemorrhage (SAK). The project will focus on the study of the expression of haem oxygenase 1 (HO-1), biliverdin reductase (BVR), toll-like receptor (TLR) 4 and 9.;Odbor výzkumu (OV)
39336;MUNI/A/0996/2017;1.1.2018;Non-invasive diagnosis of rejection after heart transplantation;doc. MUDr. Jan Krejčí, Ph.D.;37338;31.12.2018;Příjemce-koordinátor;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;I. interní kardioangiolog. klinika;;294 927;Kč;Ne; In an experimental laboratory rat model, SAK was found to induce CP cell proliferation and an inflammatory response represented by the invasion of activated macrophages. The development of inflammatory changes is attributed to blood breakdown products, mainly heme, diffusing through the liquor pathways to CP cells. The enzyme HO-1 and BVR increase hemoglobin breakdown after SAK. These enzymes have been described in various parts of the brain in addition to the CP. We hypothesize that increased expression of HO-1 and BVR may contribute to the development of inflammatory changes in the CP after SAK. It is known that TLR9 and TLR4 can affect zonulae occludentes-type;Odbor výzkumu (OV)
39352;MUNI/A/1008/2017;1.1.2018;Etiopathogenetic aspects, diagnosis and treatment of selected diseases of the oral cavity;prof. MUDr. Lydie Izakovičová Hollá, Ph.D.;734;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Stomatologická klinika;;1 300 000;Kč;Ne; connections. We hypothesize that blood breakdown products in the subarachnoid space may increase TLR4 and TLR9 expression, thereby inducing a weakening of the blood-brain barrier and the development of intracranial hypertension after SAK.  ;Odbor výzkumu (OV)
39358;MUNI/A/1011/2017;1.1.2018;Fluorescent dye in rectal and lung surgery;MUDr. Vladimír Čan;214165;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Chirurgická klinika;;250 000;Kč;Ne;Using a stereotactic frame, 200μl of autologous arterial blood will be injected into the prechiasmatic cistern;Odbor výzkumu (OV)
39359;MUNI/A/1012/2017;1.1.2018;Safety of therapy in multimorbid elderly II;MUDr. Katarína Bielaková, Ph.D., MHA;328255;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika interní, geriatr. a pr.lék.;;400 000;Kč;Ne;in the experimental group of animals. In the control group, 200μl of artifical cerebrospinal fluid will be injected. Animals of both groups will survive for 1, 3 or 7 days. Experimental, control and intact animals will be killed by CO2 inhalation and fixed. Coronal cryostat sections will be made from the harvested brains and immunohistochemical detection of HO-1, BVR, TLR4 and TLR9 will be performed.;Odbor výzkumu (OV)
39357;MUNI/A/1072/2017;1.1.2018;Diagnosis and pathophysiology of neuropathic pain;prof. MUDr. Josef Bednařík, CSc.;1308;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Neurologická klinika;;700 000;Kč;Ne;The project builds on projects with a similar title and content that were carried out in the academic years 2011-17. It is aimed at supporting the scientific activities of seven PhD students who are involved in solving scientific research problems at the Institute of Biochemistry. The common denominator is the contribution of biochemical methodologies to the recognition of the molecular basis of cellular processes.;Odbor výzkumu (OV)
39349;MUNI/A/1130/2017;1.1.2018;Evaluation of perfusion of at-risk tissues in correlation with the influence of surgical complications.;MUDr. Petr Vlček, Ph.D.;2251;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;I. chirurgická klinika;;500 000;Kč;Ne;As part of specific university research, we decided to map the issue of high-dose intravenous vitamin C (IVC) administration in collaboration with students. This is a topic that is discussed by the professional community. Hypotheses have been established about the positive but negative effect of IVC therapy on physiological processes in the human body. The existing research works focus mainly on the biological aspect of the individual and neglect the influence of IVC on the psychological and social dimensions. From the point of view of a holistic approach to patients, we consider it appropriate to verify the influence of IVC application on the quality of life of an individual. For research purposes, several objectives were set. The primary aim is to support the development of the student's ability of the follow-up Master's degree in Intensive Care in the field of systematic scientific work in all stages of the research process, to support the development of the student's critical thinking and the ability of a holistic approach to the individual. Students will be involved in research on the quality of life of IVC therapy recipients, and will survey the views of the professional and lay public on IVC therapy.;Odbor výzkumu (OV)
39340;MUNI/A/1132/2017;1.1.2018;Behavioral psychopharmacology and pharmacokinetics in preclinical drug research;doc. PharmDr. Jana Rudá, Ph.D.;169493;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Farmakologický ústav;;950 000;Kč;Ne; We anticipate that proper support of the student's research work will lead to the acquisition of relevant information in the area of the research topic and the development of the student's ability to work independently as a researcher.;Odbor výzkumu (OV)
39339;MUNI/A/1136/2017;1.1.2018;"Personalized therapy in pediatric oncology: towards ""liquid dynamic medicine"" and ""N-of-1 clinical trials""";prof. MUDr. Jaroslav Štěrba, Ph.D.;348;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika dětské onkologie;;900 000;Kč;Ne;The proposal builds on projects MUNI/A/1183/2015 and MUNI/A/1206/2016. It focuses on the study of deficiencies in antibody production and research on dysregulation in the complement system - namely in C1-INH deficiency - hereditary angioedema (HAE).;Odbor výzkumu (OV)
39367;MUNI/A/1157/2017;1.1.2018;Cardiovascular system across disciplines - from molecular diagnostics to clinical investigations;prof. MUDr. Marie Nováková, Ph.D.;1188;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Fyziologický ústav;;1 500 000;Kč;Ne;In the field of HAE, we will continue to monitor the significance and extent of granulocyte activation in the resting period and during an attack (MUDr. R. Hakl). Furthermore, we will sequence intron regions of SERPING1 gene (responsible for HAE) and test the effect of detected variants on pre-mRNA splicing in 4 families in which the analysis so far did not show causal mutation of this gene (Mgr. P. Hujová). We will also continue to study in more detail the regulatory mechanisms of mRNA splicing and expression of the SERPING1 gene, including work to confirm the hypothesis of autoregulation of C1-INH expression (Mgr. T. Kováčová).;Odbor výzkumu (OV)
39363;MUNI/A/1159/2017;1.1.2018;Dynamic infrared thermography as a diagnostic tool for monitoring colonic blood flow;Mgr. Erik Staffa, Ph.D.;175512;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Biofyzikální ústav;;350 000;Kč;Ne;In the section devoted to antibody immunodeficiencies, we will continue to determine the gut microbiome (bacterial and fungal fractions) in patients with severe primary agamoglobulinemia - common variable immunodeficiency (CVID) using existing methods of fragmentation analysis (FA) for fungi and next generation sequencing (NGS) for bacteria (Mgr. K. Fiedorová, Mgr. I. Kotásková).;Odbor výzkumu (OV)
39348;MUNI/A/1221/2017;1.1.2018;Differential diagnosis and prognosis estimation of internal diseases 2;MUDr. Jan Novák, Ph.D.;324158;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;II. interní klinika;;500 000;Kč;Ne; In terms of pathogenesis, we will discuss the significance of deficient stimulation of B-lymphocytes by T-lymphocytes in CVID patients. B-lymphocytes of CVID patients will be stimulated by both T-dependent and T-independent signals. The results will be analyzed by multicolor flow cytometry and ELISA (Mgr. P. Slanina).;Odbor výzkumu (OV)
39354;MUNI/A/1250/2017;1.1.2018;Validation of a Rule-out/Rule-in protocol in patients with chest pain - continuation of a prospective study;MUDr. Petr Lokaj, Ph.D.;50652;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Interní kardiologická klinika;;1 200 000;Kč;Ne; MUDr. Hlaváčková will continue to collect clinical and laboratory data on secondary disturbances of antibody production that develop after treatment targeting B-lymphocyte ablation, with particular focus on reconstitution of B-lymphocyte subpopulations and antibody production after treatment.  ;Odbor výzkumu (OV)
39353;MUNI/A/1252/2017;1.1.2018;Heterogeneity of significant histopathological biomarkers at the resection border of glioblastoma;prof. MUDr. Radim Jančálek, Ph.D., MBA;152;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Neurochirurgická klinika;;300 000;Kč;Ne;We will also continue to study the use of molecular methods for the analysis of polymicrobial clinical samples. In the following year we want to focus on next-generation sequencing methods for the analysis of less diverse samples (e.g. central venous catheters) (Mgr. I. Kotásková, Mgr. K. Fiedorová).;Odbor výzkumu (OV)
39356;MUNI/A/1255/2017;1.1.2018;Oncological radiological interventions and their contribution to complex oncological treatment, comparison with national results of oncological treatment of selected diagnoses;MUDr. Tomáš Andrašina, Ph.D.;51232;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika radiologie a nukleární medicíny;;700 000;Kč;Ne;As a form of outputs we expect mainly the completion of the dissertation of MUDr. R. Hakl, publication of 2-3 articles (with dedication of the project) in impacted journals and presentations at conferences.;Odbor výzkumu (OV)
39361;MUNI/A/1269/2017;1.1.2018;Advanced use of imaging methods in pediatric epileptology: interictal PET and its SPM (statistical parametric mapping) analysis: global normalization versus asymmetry index methodology;doc. MUDr. Hana Ošlejšková, Ph.D.;26544;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Klinika dětské neurologie;;299 985;Kč;Ne;Haematological malignancies are common cancers. They usually have a rapid and aggressive course and thus significantly affect the life of the patient, his surroundings and family. Therefore, the main goals of care for such affected persons include the complete eradication of the disease if possible or at least the achievement of long-term remission so that the patient can return to his/her previous way of life as much as possible.;Odbor výzkumu (OV)
39342;MUNI/A/1297/2017;1.1.2018;Tissue aspects of pathophysiological conditions;prof. MUDr. Anna Vašků, CSc.;122;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav patologické fyziologie;;1 490 000;Kč;Ne; From this point of view, not only early recognition of the disease, but also its accurate diagnosis and the subsequent administration of appropriate therapy seem to be very important. A great promise for the future is the pursuit of personalised medicine, where treatment is tailored to the patient, thus minimising its side effects.;Odbor výzkumu (OV)
39341;MUNI/A/1298/2017;1.1.2018;Tissue engineering resources 8;doc. MVDr. Aleš Hampl, CSc.;47170;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;Ústav histologie a embryologie;;1 059 000;Kč;Ne; During the course of therapy, infectious complications often occur and very often cause death. It is therefore essential to identify the infectious agent early and correctly and to administer effective treatment.;Odbor výzkumu (OV)
39350;MUNI/A/1300/2017;1.1.2018;Genotypes of pro-inflammatory genes in patients with psoriasis and cutaneous T-lymphoma;prof. MUDr. Vladimír Vašků, CSc.;1206;31.12.2018;Příjemce;MU / GA MU / Kategorie A - Studentské výzkumné projekty;LF;I. dermatovenerologická klinika;;200 000;Kč;Ne;The current project builds on previous specific research projects carried out by the authors in previous years. In the past year, data collection was completed in a study of electrophysiological correlates of emotion regulation in patients with eating disorders and data collection is ongoing in a study of impulsivity phenotypes and their neural correlates in patients with borderline personality disorder, ADHD and Parkinson's disease and in a study of social cognition in patients with schizophrenia. In the coming year, we will focus mainly on preparing for the publication of original data. We continue to treat negative symptoms in schizophrenia and impulsivity in borderline personality disorder and ADHD using repetitive transcranial magnetic stimulation (rTMS). So far, 10 patients with borderline personality disorder have undergone high-frequency stimulation of the right dorsolateral prefrontal cortex using individualized neuronavigation. The treatment was well tolerated, with patients reporting improved emotional regulation, reduced impulsivity or improved mood and attention after stimulation. In the next step, we will focus on the possibility of using an intensified protocol in the treatment of impulsivity. Furthermore, we have started a new project at our department in cooperation with the Cental Institute of Mental Health in Mannheim, focusing on fMRI neurofeedback. This is an innovative method through which patients learn to deliberately influence the activity of a specific part of their brain by using online feedbacks of actual brain activity during fMRI measurements. The technology has already been implemented at Ceitec and pilot measurements are currently underway. Using fMRI neurofeedback, we will focus on enhancing the ability to regulate emotions in different groups of patients with some form of impaired emotion regulation, namely patients with borderline personality disorder, anorexia nervosa and bipolar disorder.;Odbor výzkumu (OV)
40725;MUNI/CA/0001/2018;1.1.2018;MUNI Seminar Series;Ing. Lukáš Palko;243442;31.12.2022;Příjemce;MU / Interní projekty RMU;RMU;Odbor výzkumu;LF, PřF, FI, CEITEC;;Kč;Ne;Diagnosis of cardiac graft rejection still depends on invasive examination - endomyocardial biopsy. The investigation of the use of biomarkers obtained not only from myocardial samples but also from serum or urine (miRNA, fcdDNA) in the diagnosis of rejection is driven by the desire to allow non-invasive and early diagnosis of this condition, which is an important cause of patient death or graft loss, especially in the first years after transplantation.;Nespecifikováno (NES)
42105;MUNI/CA/0002/2018;1.1.2018;MUNI Electronic Information Resources;RNDr. Miroslav Bartošek, CSc.;930;31.12.2022;Partner;MU / Interní projekty RMU;RMU;Odbor výzkumu;LF, FF, PrF, FSS, PřF, FI, FSpS, ESF;;Kč;Ne;The proposal covers the issue of research into the aetiopathogenesis of selected diseases of the oral cavity, their diagnosis and treatment using modern microbiological, molecular-biological, imaging methods and clinical approaches.;Nespecifikováno (NES)
41016;MUNI/C/0833/2017;1.2.2018;Influence of heterophoria on computer work;Mgr. Nicol Dostálová;428713;31.12.2018;Příjemce;MU / GA MU / DO R. 2020 - Program rektora;LF;Lékařská fakulta;;39 940;Kč;Ne; The project will build on our previous results and the selected topics will be relevant to these basic needs.;Odbor výzkumu (OV)
41025;MUNI/C/1386/2017;1.2.2018;Comparison of fusion reserve values depending on the examination techniques used;Mgr. Beáta Kovačovicová;436105;31.12.2018;Příjemce;MU / GA MU / DO R. 2020 - Program rektora;LF;Lékařská fakulta;;39 940;Kč;Ne;The main goal of this project is the specialized use of fluorescence angiography and lymphography in rectal tumor surgery. This is a highly specialised issue, but one with significant impact on the oncological and functional outcomes of patients undergoing surgery for rectal tumours. In our clinic, we are now using the transanal method of rectal resection in selected patients, the so-called TaTME (Transanal Total Mesorectal Excision), which removes both the rectal tissue with the tumor, but also the perirectal adipose tissue, the removal of which is essential to prevent tumor recurrence after surgery. In order for this procedure to be successful and oncologically radical, it is necessary to find the correct boundary between the perirectal fat layer and the surrounding organs (visceral nerves important for proper urination and sexual function, internal pelvic vessels, urinary system). In our experiment, we would like to identify this boundary using the distribution of the fluorescent substance ICG (indocyanine green). Also, ICG will be used to identify the ureters and urethra that are at risk of injury during transanal and laparoscopic resection.;Odbor výzkumu (OV)
41029;MUNI/C/1414/2017;1.2.2018;Febrile convulsions as a predictive factor for the development of hippocampal sclerosis;MUDr. Barbora Musilová;446405;31.12.2018;Příjemce;MU / GA MU / DO R. 2020 - Program rektora;LF;Lékařská fakulta;;43 940;Kč;Ne;As age increases, so does the number of diseases for which seniors are treated. This increases the risk of the accumulation of adverse drug reactions and the decreasing capacity of the elimination organs with the threat of intoxication. One of the situations to pay particular attention to are drug versus loc, drug versus disease and drug versus food interactions. Given the frequency and severity, cardiovascular disability is a very high risk area with atrial fibrillation at the forefront and the need to decide on the extent of prophylactic anticoagulation. Emerging memory impairment continues to increase the aforementioned risks significantly. As a result, medication errors and drug interactions account for up to one-third of hospitalizations in the elderly. In the future, one important way to prevent cardiovascular disability and other diseases of old age is through effective education of the population from adolescence onwards.;Odbor výzkumu (OV)
41032;MUNI/C/1418/2017;1.2.2018;Extracellular factors affecting centrosome metabolism in human pluripotent stem cells;MUDr. Volodymyr Porokh;450822;31.12.2018;Příjemce;MU / GA MU / DO R. 2020 - Program rektora;LF;Lékařská fakulta;;48 940;Kč;Ne;The project includes 4 separate doctoral projects, which are complementary and are part of the long-term focus of the department on neuropathic pain. The incidence and characteristics of neuropathic pain (or the neuropathic component of mixed pain) and/or associated comorbidities (insomnia, depression, anxiety) will be monitored and evaluated in 4 different patient groups, i.e. in (1) diabetic polyneuropathy (DPN subproject), (2) polyneuropathy induced by anticancer chemotherapy (CIPN subproject), (3) some neuromuscular diseases, especially myotonic dystrophy 2. All projects will use similar validated tools to assess pain, psychological aspects and functional and/or structural impairment of the somatosensory nervous system (especially thin nerve fibres), which is one of the conditions for the diagnosis of neuropathic pain according to current diagnostic criteria. The questionnaires used are aimed at assessing the presence and intensity of neuropathic pain (Neuropathic Pain Symptom Inventory - NPSI), the prevalence of depression (Beck Depression Inventory - BDI), anxiety and distress (State-Trait Anxiety Inventory - STAI) and pain catastrophizing (Pain Catastrophizing Scale). Structural and/or functional impairment of the somatosensory nervous system will be demonstrated by assessment of corneal innervation from corneal confocal microscopy (CCM), quantification of intraepidermal thin nerve fiber density from skin biopsy (IENFD), examination of contact heat evoked potentials (CHEPs), and quantitative sensitivity testing (QST). The project has the potential to contribute to improving the understanding of the pathophysiology of neuropathic pain (and/or peripheral neuropathy) development and to refine its diagnostic possibilities in the different clinical entities included in the project. It will also focus more on the occurrence and potential impact of insomnia as well as depression and anxiety as common comorbidities of neuropathic pain.;Odbor výzkumu (OV)
41017;MUNI/C/1434/2017;1.2.2018;Investigating the Role of p53 in Neural Differentiation Using Cerebral Organoids;MUDr. Lina Mohamed Bahaaeldin Elrefae;443820;31.12.2018;Příjemce;MU / GA MU / DO R. 2020 - Program rektora;LF;Lékařská fakulta;;48 940;Kč;Ne;The main purpose of the project is the introduction and use of new technologies to improve surgical technique and thus ensure maximum success rate of surgical operations.;Odbor výzkumu (OV)
42065;MUNI/E/0563/2018;1.5.2018;Fibroblast Growth Factor Signaling Controls Primary Cilia Length via Intestinal Cell Kinase;Mgr. Michaela Bosáková, Ph.D.;106056;31.03.2019;Příjemce;MU / GA MU / Vynikající výsledky;LF;Biologický ústav;;730 000;Kč;Ne;Research at the Institute of Pharmacology has long focused on preclinical and applied research on drugs and innovative pharmacological procedures. To this end, we use the validation and refinement of knowledge about the mechanisms of action of psychopharmaceuticals and the identification of their side effects, mostly by methods of behavioural pharmacology, and the study of pharmacokinetic interactions of natural substances with potential therapeutic applications.;Odbor výzkumu (OV)
41205;MUNI/FR/0108/2018;1.4.2018;Preparation of a textbook and training manual for the innovation of complex data analyses in the subject Biostatistics for P-pool;MUDr. Roman Kula;435440;31.12.2018;Příjemce;MU / FRMU;LF;Inst.biostatistiky a analýz;;50 000;Kč;Ne;Behavioural studies are mainly focused on the identification of new psychopharmaceuticals with antidepressant, anticraving and antipsychotic potential. The group of drugs under study includes glutamatergic receptor ligands, including ketamine, a potential fast-acting antidepressant with the potential to suppress craving, and NBQX, an inotropic glutamatergic receptor antagonist (AMPA and kainate type). Adverse effects studied include mainly the effect of antipsychotics, but also schizophrenia-like phenotype, on the development of metabolic syndrome and adipokine levels.;Odbor pro rozvoj (OPR)
40066;MUNI/FR/0815/2017;1.1.2018;Colored edge filters as an aid to visual rehabilitation and their use in teaching.;Mgr. Petr Veselý, DiS., Ph.D.;176573;31.12.2018;Příjemce;MU / FRMU;LF;Kat.optometrie a ortoptiky;;50 000;Kč;Ne; The pharmacokinetic part of the project will focus on substances of natural origin with potential therapeutic applications. Using in vitro and in vivo methods their influence on the metabolic activity of rat and human cytochrome P450 (CYP) enzymes will be determined. The results of the work can be used to describe the risk of drug interactions of the studied substances. Furthermore, the project will aim to describe the endocannabinoid system in the regulation of the metabolic activity of hepatic CYP enzymes.;Odbor pro rozvoj (OPR)
39612;MUNI/FR/0828/2017;1.1.2018;Innovation of teaching methods in the subject of otorhinolaryngology;doc. MUDr. Milan Urík, Ph.D.;141920;31.12.2018;Příjemce;MU / FRMU;LF;Klinika dětské ORL;;94 500;Kč;Ne;"The project is based on the long-term professional focus of the Department of Paediatric Oncology of the Faculty of Medicine, evidenced by relevant publications. It follows the project MUNI/A/1332/2016. The aim is to further develop the achieved original results in personalized treatment approach in children with refractory and relapsed solid tumors and non-Hodgkin's lymphomas (NHL). Our analyses of tumor tissue include transcriptional profiling, next-generation sequencing (NGS) - TruSight Tumor panel and NGS Agilent (whole exome/genome sequencing); and detection of phosphorylation of receptor kinases and MAP kinases by proteomic methods. Since 2017, we have also introduced the detection of specific translocations/gene fusions (RNAseq) to our comprehensive testing panel. Our proposed comprehensive development of tumor tissue investigation (histopathology, genomic, transcriptomic and phosphoproteomic testing) together with bioinformatics support, lead to a deepening of our knowledge of the molecular profile of the tumor and the genetic background of the host. Based on previous analyses, personalized treatment could be applied, based on the recommendations of an expert panel (molecular tumor board), in approximately 60% of cases. We expect that by further deepening this innovative approach and applying it in clinical practice, we will achieve further improvements in treatment responses in a significant percentage of children with refractory malignancies. The emphasis on repeated examinations of the tumor tissue of the same patient (repeated biopsies for recurrent/progressive disease, clonal evolution) follows the latest trends in oncology and is moving towards ""liquid dynamic medicine"" and ""N-of-1 clinical trials"".";Odbor pro rozvoj (OPR)
39605;MUNI/FR/0830/2017;1.1.2018;Innovation of the course Orthodontics I to IV - exercises - Electronic atlas of OPG images of orthodontic patients;doc. MUDr. Pavlína Černochová, Ph.D.;45465;31.12.2018;Příjemce;MU / FRMU;LF;Stomatologická klinika;;63 000;Kč;Ne;The project focuses on the study of the cardiovascular system with emphasis on existing and new diagnostic approaches, from the molecular level to clinical investigation. Thus, it links the experimental research activities of the Institute of Physiology of the Faculty of Physiology of the Medical Faculty of MU with the solution of some clinical problems.  The;Odbor pro rozvoj (OPR)
40067;MUNI/FR/0842/2017;1.1.2018;Innovating the teaching of Public Health, Community and Home Care in an e-learning support environment;PhDr. Michaela Schneiderová, Ph.D.;112182;31.12.2018;Příjemce;MU / FRMU;LF;Ústav zdravotnických věd;;50 000;Kč;Ne;project will involve 12 PhD students and 16 Master of General Medicine students (7 of them P-PooL students). The Institute of Physiology has been dealing with the issue for a long time and the proposed project is a continuation of eight specific research projects carried out in 2010-2017. The Institute of Biochemistry and the Institute of Pathological Physiology of the Faculty of Medicine of the Medical University of Masaryk University are also involved in the cooperation.;Odbor pro rozvoj (OPR)
39606;MUNI/FR/0867/2017;1.1.2018;Preventive dentistry - implementation of recent scientific knowledge into study and teaching materials in Czech and English;doc. RNDr. Petra Bořilová Linhartová, Ph.D., MBA;106107;31.12.2018;Příjemce;MU / FRMU;LF;Stomatologická klinika;;51 350;Kč;Ne;The outcome of the project is the use of dynamic non-contact thermography as an additional tool to detect blood flow in the intestine during surgery. Thermal imaging appears to be a suitable tool for monitoring the quality of blood flow based on surface temperature. Thermal imaging can facilitate the surgeon's work to detect intestinal ischemia and to determine the appropriate anastomosis site.;Odbor pro rozvoj (OPR)
39618;MUNI/FR/0890/2017;1.1.2018;Fundamentals of nursing procedures and interventions;PhDr. Natália Beharková, Ph.D.;133871;31.12.2018;Příjemce;MU / FRMU;LF;Ústav zdravotnických věd;;99 500;Kč;Ne; The main aim of the project is to use dynamic thermography in practice as a useful tool in the hands of the surgeon during the actual surgical procedure. The proposed project is based on previous research and thus builds seamlessly on previous experience gained in the operating room. The;Odbor pro rozvoj (OPR)
39613;MUNI/FR/0938/2017;1.1.2018;Creation of supplementary texts for the course Biochemistry I in the English programme - lecture notes;Mgr. Ondřej Peš, Ph.D.;63698;31.12.2018;Příjemce;MU / FRMU;LF;Biochemický ústav;;95 040;Kč;Ne;thermal camera helps to determine the degree of blood supply to the colon and provides a good view of the angiosomes during the resection procedure. The added value of the present research is the correlation of the thermographic examination with the examination after administration of endocyonium green (ICG) to the patient. Patients will be thermographically examined during elective surgery. The specificity of the project is due to the comparison of dynamic thermography and ICG, two modern methods for determining the quality of blood flow. According to previous findings, these methods have not yet been compared clinically.;Odbor pro rozvoj (OPR)
39619;MUNI/FR/0962/2017;1.1.2018;CLINICAL TEACHING IN SURGICAL DEPARTMENTS - VISUAL SUPPORT FOR PRACTICAL TEACHING;Mgr. Alena Pospíšilová, Ph.D.;59873;31.12.2018;Příjemce;MU / FRMU;LF;Ústav zdravotnických věd;;50 000;Kč;Ne;Differential diagnosis (dif. dg.) of diseases, or estimation of how a given disease will further develop (determination of prognosis), is still one of the most challenging activities of internal medicine physicians. Some symptoms are common to different diseases, other diseases are heterogeneous and it is impossible to determine which direction they will take, even with the available markers and methods. The proposed project is a continuation of a project started in 2017 - using new methods and markers derived from clinical biochemistry and molecular biology, it seeks to improve the differential diagnosis and stratification of patients with internal medicine diseases. The;Odbor pro rozvoj (OPR)
